Código;Nome do cargo na Pesquisa;Região;Segmento;Data;;;;;;;;;;;;;;;;
103;Diretor de Recursos Humanos;Nacional;TI;2025;;;;;;;;;;;;;;;;
601;Diretor de Relacionamento;Nacional;TI;2025;;;;;;;;;;;;;;;;
1071;Diretor de Segurança da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
402;Diretor de Serviços;Nacional;TI;2025;;;;;;;;;;;;;;;;
400;Diretor de Tecnologia;Nacional;TI;2025;;;;;;;;;;;;;;;;
125;Diretor Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
557;Diretor Jurídico;Nacional;TI;2025;;;;;;;;;;;;;;;;
1014;DPO (Data Protection Officer);Nacional;TI;2025;;;;;;;;;;;;;;;;
1121;Engenheiro de Confiabilidade de Banco de Dados;Nacional;TI;2025;;;;;;;;;;;;;;;;
404;Engenheiro de Controle e Automação;Nacional;TI;2025;;;;;;;;;;;;;;;;
1005;Engenheiro de Dados;Nacional;TI;2025;;;;;;;;;;;;;;;;
1114;Engenheiro de Inteligência Artificial;Nacional;TI;2025;;;;;;;;;;;;;;;;
1115;Engenheiro de Segurança da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
145;Engenheiro de Software;Nacional;TI;2025;;;;;;;;;;;;;;;;
338;Estagiário Administrativo;Nacional;TI;2025;;;;;;;;;;;;;;;;
425;Estagiário em TI;Nacional;TI;2025;;;;;;;;;;;;;;;;
105;Executivo de Contas;Nacional;TI;2025;;;;;;;;;;;;;;;;
106;Gerente Administrativo;Nacional;TI;2025;;;;;;;;;;;;;;;;
479;Gerente Business Partner;Nacional;TI;2025;;;;;;;;;;;;;;;;
107;Gerente Comercial;Nacional;TI;2025;;;;;;;;;;;;;;;;
110;Gerente Contábil Fiscal;Nacional;TI;2025;;;;;;;;;;;;;;;;
49;Gerente de Atendimento e Suporte;Nacional;TI;2025;;;;;;;;;;;;;;;;
895;Gerente de Banco de Dados;Nacional;TI;2025;;;;;;;;;;;;;;;;
1018;Gerente de BI;Nacional;TI;2025;;;;;;;;;;;;;;;;
450;Gerente de Canais;Nacional;TI;2025;;;;;;;;;;;;;;;;
493;Gerente de Comércio Exterior;Nacional;TI;2025;;;;;;;;;;;;;;;;
109;Gerente de Compras;Nacional;TI;2025;;;;;;;;;;;;;;;;
326;Gerente de Conteúdo;Nacional;TI;2025;;;;;;;;;;;;;;;;
353;Gerente de Contratos;Nacional;TI;2025;;;;;;;;;;;;;;;;
111;Gerente de Controladoria;Nacional;TI;2025;;;;;;;;;;;;;;;;
1066;Gerente de Customer Experience;Nacional;TI;2025;;;;;;;;;;;;;;;;
61;Gerente de Desenvolvimento de TI;Nacional;TI;2025;;;;;;;;;;;;;;;;
832;Gerente de E-commerce;Nacional;TI;2025;;;;;;;;;;;;;;;;
1072;Gerente de Entregas;Nacional;TI;2025;;;;;;;;;;;;;;;;
987;Gerente de Gerenciamento de Riscos e Compliance;Nacional;TI;2025;;;;;;;;;;;;;;;;
1120;Gerente de Governança;Nacional;TI;2025;;;;;;;;;;;;;;;;
1059;Gerente de Growth Hacking;Nacional;TI;2025;;;;;;;;;;;;;;;;
1022;Gerente de Growth Product;Nacional;TI;2025;;;;;;;;;;;;;;;;
834;Gerente de Implantação e Configuração;Nacional;TI;2025;;;;;;;;;;;;;;;;
135;Gerente de Infraestrutura de TI;Nacional;TI;2025;;;;;;;;;;;;;;;;
554;Gerente de Inteligência de Mercado;Nacional;TI;2025;;;;;;;;;;;;;;;;
112;Gerente de Marketing;Nacional;TI;2025;;;;;;;;;;;;;;;;
579;Gerente de Marketing Digital;Nacional;TI;2025;;;;;;;;;;;;;;;;
451;Gerente de Negócios;Nacional;TI;2025;;;;;;;;;;;;;;;;
311;Gerente de Operações;Nacional;TI;2025;;;;;;;;;;;;;;;;
66;Gerente de Pesquisa e Desenvolvimento P&D;Nacional;TI;2025;;;;;;;;;;;;;;;;
342;Gerente de Planejamento Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
152;Gerente de PMO;Nacional;TI;2025;;;;;;;;;;;;;;;;
455;Gerente de Pré-vendas;Nacional;TI;2025;;;;;;;;;;;;;;;;
613;Gerente de Produção;Nacional;TI;2025;;;;;;;;;;;;;;;;
407;Gerente de Produto;Nacional;TI;2025;;;;;;;;;;;;;;;;
1186;Gerente de Produto de Inteligência Artificial;Nacional;TI;2025;;;;;;;;;;;;;;;;
65;Gerente de Projetos;Nacional;TI;2025;;;;;;;;;;;;;;;;
108;Gerente de Qualidade e Processos;Nacional;TI;2025;;;;;;;;;;;;;;;;
113;Gerente de Recursos Humanos;Nacional;TI;2025;;;;;;;;;;;;;;;;
408;Gerente de Relacionamento;Nacional;TI;2025;;;;;;;;;;;;;;;;
1116;Gerente de Relações com Investidores;Nacional;TI;2025;;;;;;;;;;;;;;;;
891;Gerente de Segurança da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
63;Gerente de Tecnologia da Informação;Nacional;TI;2025;;;;;;;;;;;;;;;;
452;Gerente de Testes (Qualidade em TI);Nacional;TI;2025;;;;;;;;;;;;;;;;
765;Gerente de Treinamento e Desenvolvimento;Nacional;TI;2025;;;;;;;;;;;;;;;;
114;Gerente Financeiro;Nacional;TI;2025;;;;;;;;;;;;;;;;
148;Gerente Jurídico;Nacional;TI;2025;;;;;;;;;;;;;;;;
1060;Inside Sales;Nacional;TI;2025;;;;;;;;;;;;;;;;
