Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários;Menor Salário;1o Quartil;Média;Mediana;3o Quartil;Maior Salário
368;Analista de Faturamento;Júnior;Nacional;TI - Software;2025;200;6;7;2293,22;2387,45;2768,19;2518,77;3085,49;3619,47
368;Analista de Faturamento;Pleno;Nacional;TI - Software;2025;200;9;10;2982,53;3637,23;3858,77;3825,91;4151,84;4656,31
989;Analista de Gerenciamento de Riscos e Compliance;Indiferente;Nacional;TI - Software;2025;200;4;8;3540,48;3540,48;4246,14;3540,48;4587,33;7076,53
900;Analista de Growth Hacking;Indiferente;Nacional;TI - Software;2025;200;10;13;3062,36;3526,28;5391,53;4594,23;6827,20;9328,13
900;Analista de Growth Hacking;Pleno;Nacional;TI - Software;2025;200;5;5;4121,62;4579,58;4829,23;4594,23;5355,23;5495,50
436;Analista de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;33;511;2992,81;3323,94;3844,78;3474,97;4531,92;5118,29
436;Analista de Implantação e Configuração;Júnior;Nacional;TI - Software;2025;200;20;287;2564,56;3323,94;3340,28;3323,94;3323,94;4194,89
436;Analista de Implantação e Configuração;Pleno;Nacional;TI - Software;2025;200;23;222;3474,97;4531,92;4456,64;4531,92;4531,92;5541,29
436;Analista de Implantação e Configuração;Sênior;Nacional;TI - Software;2025;200;9;50;5208,78;6591,91;6497,03;6591,91;6591,91;7327,33
15;Analista de Infraestrutura de TI;Indiferente;Nacional;TI - Software;2025;200;36;74;3349,44;3865,10;4517,27;4294,48;5189,01;6390,97
15;Analista de Infraestrutura de TI;Júnior;Nacional;TI - Software;2025;200;17;38;2854,42;3473,65;3720,43;3865,10;3865,10;5005,42
15;Analista de Infraestrutura de TI;Pleno;Nacional;TI - Software;2025;200;21;27;4123,81;4508,47;4980,93;4927,72;5408,85;6001,08
15;Analista de Infraestrutura de TI;Sênior;Nacional;TI - Software;2025;200;18;22;5037,54;6165,44;6697,96;6698,73;7073,45;8638,91
1076;Analista de Integrações;Indiferente;Nacional;TI - Software;2025;200;9;14;4258,65;4644,31;5455,97;5057,22;6645,58;7259,38
