Código;Nome do Cargo;Senioridade;Região;Segmento;Data;Horas;Dados Estatísticos - Empresas;Dados Estatísticos - Salários
77;Assistente de Recursos Humanos;Indiferente;Nacional;TI - Software;2025;200;23;27
77;Assistente de Recursos Humanos;Júnior;Nacional;TI - Software;2025;200;5;5
442;Assistente de Relacionamento;Indiferente;Nacional;TI - Software;2025;200;8;101
443;Assistente de Testes (Qualidade em TI);Indiferente;Nacional;TI - Software;2025;200;11;16
443;Assistente de Testes (Qualidade em TI);Júnior;Nacional;TI - Software;2025;200;5;7
443;Assistente de Testes (Qualidade em TI);Pleno;Nacional;TI - Software;2025;200;4;5
79;Assistente Financeiro;Indiferente;Nacional;TI - Software;2025;200;15;34
117;Atendente de Recepção;Indiferente;Nacional;TI - Software;2025;200;5;8
83;Auxiliar Administrativo;Indiferente;Nacional;TI - Software;2025;200;10;17
91;Auxiliar de Serviços Gerais;Indiferente;Nacional;TI - Software;2025;200;21;49
456;CEO;Indiferente;Nacional;TI - Software;2025;200;4;4
444;Cientista de Dados;Indiferente;Nacional;TI - Software;2025;200;9;10
444;Cientista de Dados;Pleno;Nacional;TI - Software;2025;200;6;7
285;Consultor Comercial;Indiferente;Nacional;TI - Software;2025;200;18;36
285;Consultor Comercial;Pleno;Nacional;TI - Software;2025;200;4;5
40;Consultor de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;7;22
40;Consultor de Atendimento e Suporte;Pleno;Nacional;TI - Software;2025;200;5;10
40;Consultor de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;4;12
156;Consultor de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;20;230
156;Consultor de Implantação e Configuração;Júnior;Nacional;TI - Software;2025;200;11;43
156;Consultor de Implantação e Configuração;Pleno;Nacional;TI - Software;2025;200;11;109
156;Consultor de Implantação e Configuração;Sênior;Nacional;TI - Software;2025;200;9;43
149;Consultor de Negócios;Indiferente;Nacional;TI - Software;2025;200;9;19
149;Consultor de Negócios;Pleno;Nacional;TI - Software;2025;200;4;5
39;Coordenador Administrativo;Indiferente;Nacional;TI - Software;2025;200;13;13
477;Coordenador Business Partner;Indiferente;Nacional;TI - Software;2025;200;4;4
41;Coordenador Comercial;Indiferente;Nacional;TI - Software;2025;200;27;38
41;Coordenador Comercial;Sênior;Nacional;TI - Software;2025;200;5;5
274;Coordenador Contábil;Indiferente;Nacional;TI - Software;2025;200;6;7
47;Coordenador de Atendimento e Suporte;Indiferente;Nacional;TI - Software;2025;200;34;51
47;Coordenador de Atendimento e Suporte;Sênior;Nacional;TI - Software;2025;200;6;6
1067;Coordenador de Customer Experience;Indiferente;Nacional;TI - Software;2025;200;6;8
126;Coordenador de Departamento Pessoal;Indiferente;Nacional;TI - Software;2025;200;5;6
73;Coordenador de Desenvolvimento;Indiferente;Nacional;TI - Software;2025;200;20;50
73;Coordenador de Desenvolvimento;Sênior;Nacional;TI - Software;2025;200;5;11
1073;Coordenador de Designer;Indiferente;Nacional;TI - Software;2025;200;4;4
459;Coordenador de Implantação e Configuração;Indiferente;Nacional;TI - Software;2025;200;11;12
132;Coordenador de Infraestrutura de TI;Indiferente;Nacional;TI - Software;2025;200;5;5
56;Coordenador de Marketing;Indiferente;Nacional;TI - Software;2025;200;18;22
167;Coordenador de Negócios;Indiferente;Nacional;TI - Software;2025;200;5;5
295;Coordenador de Operações;Indiferente;Nacional;TI - Software;2025;200;10;19
78;Coordenador de Pesquisa e Desenvolvimento P&D;Indiferente;Nacional;TI - Software;2025;200;4;4
447;Coordenador de Pré-vendas;Indiferente;Nacional;TI - Software;2025;200;11;12
305;Coordenador de Produto;Indiferente;Nacional;TI - Software;2025;200;7;12
97;Coordenador de Projetos;Indiferente;Nacional;TI - Software;2025;200;6;20
120;Coordenador de Qualidade e Processos;Indiferente;Nacional;TI - Software;2025;200;6;6
121;Coordenador de Recursos Humanos;Indiferente;Nacional;TI - Software;2025;200;18;18
121;Coordenador de Recursos Humanos;Sênior;Nacional;TI - Software;2025;200;5;5
448;Coordenador de Relacionamento;Indiferente;Nacional;TI - Software;2025;200;15;18
448;Coordenador de Relacionamento;Pleno;Nacional;TI - Software;2025;200;4;6
76;Coordenador de Tecnologia da Informação;Indiferente;Nacional;TI - Software;2025;200;10;14
397;Coordenador de Testes (Qualidade em TI);Indiferente;Nacional;TI - Software;2025;200;4;4
763;Coordenador de Treinamento e Desenvolvimento;Indiferente;Nacional;TI - Software;2025;200;4;4
122;Coordenador Financeiro;Indiferente;Nacional;TI - Software;2025;200;11;11
321;Copeiro;Indiferente;Nacional;TI - Software;2025;200;4;7
1;Desenvolvedor;Indiferente;Nacional;TI - Software;2025;200;88;1205
1;Desenvolvedor;Júnior;Nacional;TI - Software;2025;200;62;395
1;Desenvolvedor;Pleno;Nacional;TI - Software;2025;200;58;545
1;Desenvolvedor;Sênior;Nacional;TI - Software;2025;200;43;350
